DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
87.3252,13.042,,59.929,0.5029,,-141.0547,
87.4776,13.042,,62.6306,0.6274,,-140.3438,
87.63,13.042,,60.42,0.6382,,-141.6016,
87.7824,13.042,,63.3676,0.8317,,-142.4531,
87.9348,13.042,,61.1571,0.6455,,-141.4219,
88.0872,13.042,,58.9466,0.6308,,-143.0234,
88.2396,13.042,,57.9641,0.4572,,-141.5547,
88.392,13.042,,51.824,0.4789,,-142.125,
88.5444,13.0186,,49.8236,0.4414,,-141.6597,
88.6968,13.0303,,49.3502,0.5521,,-142.1641,
88.8492,13.042,,51.5783,0.6463,,-142.0547,
89.0016,13.0303,,55.9794,0.7847,,-141.1563,
89.154,13.0303,,51.3143,0.9005,,-139.7891,
89.3064,13.0069,,51.8229,0.7689,,-138.3516,
89.4588,13.042,,49.4218,0.6907,,-139.8359,
89.6112,13.042,,57.0361,0.611,,-141.8438,
89.7636,13.0653,,59.234,0.5535,,-143.3672,
89.916,13.0536,,63.6358,0.5301,,-142.6875,
90.0684,13.042,,61.8937,0.5616,,-143.8438,
90.2208,13.0653,,66.8538,0.5869,,-143.5625,
90.3732,13.042,,59.1923,0.4778,,-143.4063,
90.5256,13.042,,60.1749,0.4735,,-144.1797,
90.678,13.042,,55.0168,0.5544,,-145.0,
90.8304,13.042,,60.9116,0.7406,,-144.6406,
90.9828,13.042,,59.1923,0.6568,,-145.1094,
91.1352,13.0653,,61.4462,0.5819,,-144.0313,
91.2876,13.0653,,61.6916,0.4874,,-142.9453,
91.44,13.042,,62.139,0.4523,,-142.9453,
91.5924,13.0653,,59.9713,0.4591,,-143.1406,
91.7448,13.042,,59.1922,0.4882,,-143.3516,
91.8972,13.042,,56.4904,0.5759,,-144.0469,
92.0496,13.0653,,57.5139,0.6044,,-142.4219,
92.202,13.042,,54.1982,0.5624,,-141.6484,
92.3544,13.0303,,57.1249,0.5837,,-142.4766,
92.5068,13.042,,59.3559,0.5746,,-140.4688,
92.6592,13.0186,,64.7951,0.6257,,-141.9219,
92.8116,13.042,,66.0696,0.6051,,-145.0547,
92.964,13.0653,,62.9212,0.5677,,-145.9063,
93.1164,13.042,,61.1572,0.7298,,-143.5469,
93.2688,13.042,,58.2096,0.7171,,-141.875,
93.4212,13.0653,,59.9714,0.7419,,-142.7891,
93.5736,13.0653,,57.0222,0.5643,,-143.2054,
93.726,13.042,,57.4731,0.5774,,-142.5833,
93.8784,13.042,,54.7715,0.6322,,-142.2578,
94.0308,13.042,,56.2449,0.6946,,-141.9922,
94.1832,13.042,,55.2625,0.6691,,-138.9922,
94.3356,13.0536,,56.5106,0.6137,,-136.8359,
94.488,13.042,,59.4376,0.6158,,-134.9766,
94.6404,13.0303,,57.6981,0.6244,,-135.8047,
94.7928,13.042,,54.9075,0.6374,,-136.8594,
94.9452,13.042,,50.4871,0.651,,-138.5391,
95.0976,13.042,,48.6622,0.6982,,-139.8516,
95.25,13.0186,,53.8633,0.8623,,-141.4609,
95.4024,13.042,,59.3048,0.9093,,-141.9063,
95.5548,13.042,,61.3748,0.7752,,-142.7109,
95.7072,13.042,,56.9815,0.8461,,-144.3203,
95.8596,13.042,,53.0518,0.6775,,-146.4844,
96.012,13.0186,,55.714,0.7234,,-145.625,
96.1644,13.042,,58.7009,0.6238,,-145.6797,
96.3168,13.0186,,57.4318,0.7521,,-147.3906,
96.4692,13.042,,55.2623,0.5454,,-148.2188,
96.6216,13.042,,53.5429,0.5598,,-151.3906,
96.774,13.0186,,53.5051,0.7582,,-149.375,
96.9264,13.042,,54.2799,0.8623,,-148.6406,
97.0788,13.042,,56.9819,1.0514,,-149.0234,
97.2312,13.0186,,57.9227,0.8216,,-148.6563,
97.3836,12.9953,,61.0698,1.058,,-148.4688,
97.536,12.9953,,54.938,0.789,,-149.7891,
97.6884,13.0069,,55.694,0.6786,,-149.8203,
97.8408,13.0069,,51.7685,0.6676,,-148.9531,
97.9932,13.0069,,54.9581,0.7529,,-148.4688,
98.1456,13.0186,,55.2504,0.7184,,-147.6641,
98.298,12.9953,,55.4564,0.6014,,-147.9453,
98.4504,13.0186,,56.2322,0.5522,,-147.0417,
98.6028,13.0186,,56.9408,0.4996,,-148.7969,
98.7552,12.9953,,58.1265,0.5119,,-150.8571,
98.9076,13.0186,,58.4134,0.4643,,-152.0938,
99.06,12.9253,,56.0446,0.5684,,-152.8203,
99.2124,12.9486,,50.9416,0.7035,,-156.3984,
99.3648,12.9253,,51.3946,0.8407,,-159.625,
99.5172,12.9253,,52.3732,0.6096,,-160.4531,
99.6696,12.9253,,57.7576,0.6557,,-159.2679,
99.822,12.9253,,55.3104,0.5291,,-156.8203,
99.9744,12.9253,,55.5552,0.6456,130.7509,-156.2222,
100.1268,12.9253,,52.1287,0.7244,134.7607,-155.3672,
100.2792,12.9253,,52.618,0.7941,139.6051,-155.4766,356.8366
100.4316,12.9136,,55.535,0.6733,144.3053,-159.6797,358.8976
100.584,13.0303,,60.6441,0.4983,142.9055,-165.0469,355.6042
100.7364,12.9019,,64.564,0.6113,136.7452,-171.9141,347.3707
100.8888,12.7969,,65.5738,0.6088,131.4201,-181.6406,340.2857
101.0412,12.8085,,70.6914,0.5493,126.1718,-190.9063,333.1135
101.1936,12.7852,,71.8235,0.5616,124.8536,-198.3281,330.9484
101.346,12.7619,,71.5283,0.5496,131.6758,-203.4609,333.9968
101.4984,12.7152,,69.4793,0.7992,132.3972,-209.1406,337.6271
101.6508,12.6685,,69.8988,0.5912,128.3654,-213.7031,341.2292
101.8032,12.6918,,75.5381,0.4938,128.3654,-217.7578,341.2292
101.9556,12.7852,,80.1711,0.3776,133.5491,-223.2031,337.6271
102.108,12.8085,,84.3749,0.3671,139.8503,-227.7344,342.0788
102.2604,12.8319,,87.8518,0.3917,141.8468,-231.7109,357.2154
102.4128,12.8085,,90.4713,0.4096,141.9066,-235.0,384.585
102.5652,12.8085,,83.8867,0.4531,139.6325,-235.8203,384.585
102.7176,12.7852,,71.886,0.3807,132.5012,-238.0703,345.724
