DEPTH,CALI,CHKS:1,CHKS:2,RHOB,GR,DT,RES,SP
167.7748,10.7765,,,2.0833,95.5494,134.0414,1.3969,
167.9272,10.8617,,,2.0205,102.4678,133.6508,1.3878,
168.0796,11.0871,,,1.9567,103.8143,135.9064,1.407,
168.232,11.3065,,,1.9773,99.3451,138.9162,1.4652,
168.3844,11.1497,,,2.0335,95.437,141.3398,1.5477,
168.5368,10.5211,,,2.0689,94.7643,141.4755,1.6028,
168.6892,10.1276,,,2.1375,92.0868,139.057,1.6106,
168.8416,10.1322,,,2.1918,88.7162,135.4337,1.621,
168.994,10.2229,,,2.2704,89.2913,129.8357,1.718,
169.1464,10.365,,,2.2892,89.3264,123.0035,1.9336,
169.2988,10.419,,,2.2968,84.524,118.2198,2.1316,
169.4512,10.3378,,,2.2829,81.3808,119.1826,2.0156,
169.6036,10.1326,,,2.2626,85.254,124.1243,1.7337,
169.756,10.035,,,2.2551,91.4976,128.0406,1.5395,
169.9084,10.13,,,2.2575,94.1887,129.0146,1.4296,
170.0608,10.2951,,,2.2648,92.182,128.628,1.3761,47.3458
170.2132,10.342,,,2.2417,85.5347,128.7117,1.3846,48.0677
170.3656,10.1674,,,2.2285,78.6172,128.7923,1.4607,46.7606
170.518,10.0242,,,2.229,77.4533,128.8328,1.561,44.9479
170.6704,10.0119,,,2.2355,82.5021,129.9429,1.631,44.4533
170.8228,10.0188,,,2.2455,85.5459,136.6234,1.6537,45.2236
170.9752,10.0652,,,2.254,82.4539,150.2237,1.6275,46.8085
171.1276,10.3223,,,2.2531,78.1208,161.1743,1.5654,47.8298
171.28,10.659,,,2.252,76.8633,164.8095,1.4851,48.0127
171.4324,10.5363,,,2.2535,75.4952,168.0163,1.426,48.4294
171.5848,10.4576,,,2.2497,73.4116,174.8317,1.4089,48.2006
171.7372,10.5623,,,2.2455,71.4873,175.9848,1.4215,47.5114
171.8896,10.6264,,,2.2269,69.8425,165.9953,1.4556,47.167
172.042,10.6814,,,2.2135,67.7937,152.7406,1.5063,47.4667
172.1944,10.7145,,,2.198,67.6113,146.1311,1.5754,46.7672
172.3468,10.6744,,,2.195,70.6501,146.8214,1.6652,45.6883
172.4992,10.5608,,,2.2022,73.2279,151.0087,1.7808,44.581
172.6516,10.4338,,,2.2058,72.4396,156.4255,1.9136,45.9601
172.804,10.3334,,,2.1891,72.4996,162.5939,2.0605,47.2122
172.9564,10.2264,,,2.1864,73.5097,168.6176,2.2145,47.7025
173.1088,10.0929,,,2.1827,72.5843,174.5903,2.3735,46.4082
173.2612,10.0531,,,2.1793,70.1834,180.0255,2.5602,45.6224
173.4136,10.1017,,,2.1545,69.3556,181.0256,2.7599,44.6794
173.566,10.0932,,,2.1311,70.5143,179.8576,2.8827,44.2322
173.7184,10.0857,,,2.12,73.5507,176.8629,2.8902,44.3147
173.8708,10.174,,,2.1506,76.9488,168.6604,2.8433,45.5694
174.0232,10.2506,,,2.1855,76.6501,160.8015,2.8531,46.8986
174.1756,10.1557,,,2.2103,71.4097,163.6152,2.9797,47.6981
174.328,10.0627,,,2.182,68.5529,172.4126,3.1014,47.2851
174.4804,10.0876,,,2.1476,71.3064,177.6803,3.085,46.9314
174.6328,10.1224,,,2.1226,73.9663,179.3068,3.091,47.1429
174.7852,10.166,,,2.0806,72.0114,178.8559,3.3526,47.3408
174.9376,10.2618,,,2.1019,67.1369,175.5038,3.8336,47.3024
175.09,10.5504,,,2.1134,61.7241,170.5495,4.3445,47.2797
175.2424,10.6816,,,2.1377,57.4834,167.7194,4.6391,47.7768
175.3948,10.4887,,,2.1746,56.8917,167.144,4.5215,46.8669
175.5472,10.4346,,,2.1611,62.8544,168.1157,4.1461,46.4001
175.6996,10.4635,,,2.1699,71.3303,173.3241,3.843,46.3664
175.852,10.4197,,,2.1316,73.1349,181.3968,3.7347,46.5107
176.0044,10.3958,,,2.0844,69.2711,185.1006,3.7002,47.2758
176.1568,10.3863,,,2.0737,64.0671,183.6013,3.6016,48.3122
176.3092,10.3642,,,2.0532,60.6586,180.8957,3.4438,47.6794
176.4616,10.302,,,2.0485,63.3663,177.9474,3.2219,46.9519
176.614,10.2215,,,2.051,70.9901,174.5867,2.8992,47.0119
176.7664,10.1038,,,2.0427,75.6323,171.7854,2.5655,46.8172
176.9188,10.0105,,,2.0403,76.7134,165.8885,2.3463,46.2443
177.0712,9.9564,,,2.0689,76.0717,152.0274,2.2653,45.6492
177.2236,9.8779,,,2.13,73.3185,136.0354,2.2258,46.3699
177.376,9.8307,,,2.1786,70.0502,125.843,2.158,47.8661
177.5284,9.8522,,,2.1801,70.3796,120.3152,2.0974,48.323
177.6808,10.0106,,,2.2302,70.8923,115.0478,2.1344,47.9293
177.8332,10.2411,,,2.3019,69.7433,110.7337,2.1725,47.8447
177.9856,10.266,,,2.3365,69.9044,109.6544,2.0489,48.7155
178.138,10.2576,,,2.3237,71.7804,111.7998,1.8706,48.2898
178.2904,10.2427,,,2.2732,71.7181,115.8417,1.7633,48.2013
178.4428,10.2179,,,2.2183,71.9277,121.5185,1.6814,48.3499
178.5952,10.1929,,,2.2102,73.4196,129.0146,1.5748,48.3391
178.7476,10.121,,,2.2171,72.7285,134.4857,1.4487,48.4114
178.9,10.0488,,,2.2071,71.0841,133.9184,1.3498,47.9883
179.0524,9.9922,,,2.185,72.9365,129.3412,1.3427,47.1164
179.2048,9.9929,,,2.2027,76.9015,125.424,1.4477,47.7291
179.3572,10.0298,,,2.2206,77.3789,123.0091,1.5684,48.1506
179.5096,10.0369,,,2.2622,76.8827,121.994,1.5572,47.6631
179.662,10.0448,,,2.2865,80.9845,123.6774,1.441,46.0305
179.8144,10.0581,,,2.2223,87.6335,127.2727,1.3627,46.4535
179.9668,10.1026,,,2.214,91.2469,131.408,1.373,47.6988
180.1192,10.1013,,,2.2308,91.719,135.6567,1.4185,48.5503
180.2716,10.0368,,,2.2559,92.215,137.3781,1.4591,48.5151
180.424,10.0127,,,2.2956,95.0511,135.1172,1.4796,48.5664
180.5764,10.1837,,,2.2894,93.2271,132.5291,1.4019,47.8744
180.7288,10.5873,,,2.2755,85.8422,134.4106,1.2352,46.9896
180.8812,11.2669,,,2.1239,76.93,139.0396,1.073,46.9403
181.0336,12.2772,,,1.7378,70.2125,142.4026,0.9796,48.116
181.186,13.4082,,,1.561,66.9981,145.935,0.9788,47.4801
181.3384,12.4257,,,1.5231,72.978,147.1832,1.0646,46.7211
181.4908,10.473,,,1.5643,89.536,143.2835,1.2549,46.5835
181.6432,10.1191,,,1.7168,107.3527,137.9723,1.5121,46.4218
181.7956,10.1885,,,2.0856,119.394,133.8489,1.7385,46.3718
181.948,10.2074,,,2.2946,128.6537,134.3704,1.844,46.5356
182.1004,10.2707,,,2.3097,137.5069,141.4547,1.8506,47.0709
182.2528,10.3076,,,2.3048,142.5064,148.1573,1.8274,47.5657
182.4052,10.2565,,,2.3043,141.9836,144.9008,1.7903,48.4743
182.5576,10.2181,,,2.3004,141.8946,135.6126,1.7287,48.1367
182.71,10.1766,,,2.2973,145.7675,130.4598,1.6463,46.2658
182.8624,10.222,,,2.288,142.822,131.1635,1.5615,44.838
183.0148,10.3145,,,2.2734,129.3803,133.8714,1.4926,45.4084
183.1672,10.3057,,,2.2657,116.8094,137.4364,1.4529,47.3271
183.3196,10.3174,,,2.2536,111.432,139.7428,1.4346,47.7996
183.472,10.3962,,,2.2385,108.9994,139.8047,1.4186,47.5926
183.7768,10.4109,,,2.0884,104.8528,140.8292,1.3944,46.4271
183.9292,10.2562,,,2.0563,101.1684,140.7436,1.4609,46.2074
184.0816,10.0385,,,2.0519,97.9931,136.0429,1.6534,46.5593
184.234,10.005,,,2.0996,96.3129,128.2379,1.9649,46.2586
184.3864,9.9433,,,2.2013,93.4203,121.2965,2.3538,45.4474
184.5388,9.8768,,,2.1886,87.3272,117.7578,2.6409,45.6218
184.6912,9.9187,,,2.1436,79.8475,119.0775,2.5541,45.4039
184.8436,10.0775,,,2.0789,79.5857,123.7387,2.1847,45.0473
184.996,10.1619,,,2.0278,87.7827,127.1194,1.9176,45.1923
185.1484,10.1683,,,2.0549,91.4235,126.334,1.9726,46.9029
185.3008,10.2712,,,2.0842,85.6683,123.7187,2.1536,47.9508
185.4532,10.3704,,,2.1708,81.8222,123.0228,2.0636,47.7498
185.6056,10.3397,,,2.1839,85.4026,124.3564,1.8324,47.0243
185.758,10.0966,,,2.1258,89.387,125.4469,1.7804,46.5472
185.9104,9.9768,,,2.13,89.1846,125.3336,1.9254,45.6828
186.0628,9.952,,,2.1841,85.0539,123.3944,2.1749,45.6599
186.2152,9.8871,,,2.228,81.8977,120.3789,2.3994,45.9481
186.3676,9.8286,,,2.1996,84.0599,118.5944,2.5317,46.6501
186.52,9.8429,,,2.1379,86.8649,118.5762,2.6395,47.664
186.6724,9.8381,,,2.1133,84.1743,119.4409,2.7768,48.1184
186.9772,9.8747,,,2.092,74.4063,119.2953,3.0133,48.311
187.1296,9.8708,,,2.1076,69.2968,119.1047,2.9994,48.0341
187.282,9.88,,,2.1605,65.0367,122.1539,2.6241,48.1975
187.4344,9.9868,,,2.1522,65.9596,127.5455,2.068,48.1969
187.5868,9.9614,,,2.0529,73.2423,130.6656,1.6955,48.3603
187.7392,9.7435,,,2.0446,81.5551,130.613,1.6305,49.4666
187.8916,9.6436,,,2.0654,87.5421,128.9126,1.8574,48.5001
188.044,9.6237,,,2.1341,91.1337,125.4968,2.1336,47.2798
188.1964,9.6539,,,2.2566,89.8302,120.9621,2.2351,47.7806
188.3488,9.7461,,,2.2779,86.5294,118.0471,2.2082,48.1794
188.5012,9.8146,,,2.256,84.8865,117.5743,2.2396,47.3513
188.6536,9.787,,,2.2409,83.792,120.0533,2.4278,46.3189
188.806,9.7117,,,2.2244,81.4805,124.6187,2.7278,46.0989
188.9584,9.6708,,,2.2131,78.8952,126.5187,2.9775,46.8398
189.1108,9.6658,,,2.217,75.0446,122.8195,2.9899,47.2253
189.2632,9.6957,,,2.2438,71.2689,120.2832,2.6287,47.4099
189.4156,9.7418,,,2.2742,72.6717,122.1424,2.1173,47.1716
189.568,9.7948,,,2.2933,79.2916,125.3372,1.7625,47.2224
189.7204,9.7406,,,2.2781,84.8979,127.9353,1.6066,48.3675
189.8728,9.6817,,,2.2751,87.7708,129.4566,1.5915,49.0234
190.1776,9.906,,,2.3183,90.3864,129.7863,1.6136,49.7301
190.33,9.8751,,,2.3158,90.3028,130.0431,1.6199,50.132
190.4824,9.8164,,,2.2992,87.4829,130.6171,1.6941,49.5969
190.6348,9.8907,,,2.3103,81.7427,131.5488,1.7608,49.2957
190.7872,9.9304,,,2.2967,77.5725,132.2142,1.6619,49.1128
190.9396,9.8786,,,2.2758,80.5695,132.3888,1.4839,48.7684
191.092,9.772,,,2.2561,86.8704,133.2201,1.3706,47.7877
191.2444,9.6902,,,2.2723,89.2464,133.8437,1.3511,47.2297
191.3968,9.6316,,,2.328,88.324,132.5727,1.3948,47.6788
191.5492,9.7346,,,2.3286,87.6007,130.4017,1.4442,48.6016
191.7016,9.8034,,,2.3233,84.8559,129.3098,1.4625,48.7037
191.854,9.795,,,2.3213,83.4581,129.5822,1.4545,48.7587
192.0064,9.8083,,,2.3184,88.3152,130.5385,1.4449,48.5981
192.1588,9.8523,,,2.3062,93.7685,131.8033,1.4477,47.9487
192.3112,9.924,,,2.3055,94.1047,133.4692,1.4649,47.3318
192.4636,9.9592,,,2.2917,91.9551,135.4284,1.5046,47.0442
192.616,9.9747,,,2.2972,89.2218,136.9485,1.5584,47.4242
192.7684,9.8707,,,2.2955,84.8369,137.1944,1.5915,46.5641
192.9208,9.8147,,,2.2949,81.7273,136.5853,1.5806,46.8549
193.0732,9.7901,,,2.3029,82.5252,135.6599,1.5316,47.7182
193.378,9.7841,,,2.3207,83.4519,134.3116,1.4261,49.7668
193.5,,153.96,155.24,,,,,
193.5304,9.7602,,,2.316,83.3523,134.5674,1.3786,49.5871
193.6828,9.7993,,,2.3165,83.5069,135.0041,1.3358,48.2884
193.8352,9.8211,,,2.3115,84.1771,135.218,1.3014,47.0217
193.9876,9.8518,,,2.3145,89.7025,135.5523,1.2764,46.8075
194.14,9.8563,,,2.3139,96.3166,135.857,1.2577,47.538
194.2924,9.8552,,,2.309,96.2502,135.4297,1.2442,47.6944
194.4448,9.8486,,,2.3042,90.2997,137.3845,1.2345,47.5383
194.5972,9.8914,,,2.3046,84.7295,145.5742,1.2291,47.7117
